geo,time,income_per_person_long_series
ago,1920,1288.0
ago,1921,1326.0
ago,1922,1365.0
ago,1923,1405.0
ago,1924,1447.0
ago,1925,1490.0
ago,1926,1534.0
ago,1927,1579.0
ago,1928,1626.0
ago,1929,1674.0
ago,1930,1724.0
ago,1931,1775.0
ago,1932,1827.0
ago,1933,1881.0
ago,1934,1937.0
ago,1935,1994.0
ago,1936,2053.0
ago,1937,2114.0
ago,1938,2176.0
ago,1939,2241.0
ago,1940,2307.0
ago,1941,2375.0
ago,1942,2446.0
ago,1943,2518.0
ago,1944,2593.0
ago,1945,2669.0
ago,1946,2748.0
ago,1947,2830.0
ago,1948,2913.0
ago,1949,2999.0
ago,1950,3088.0
ago,1951,3160.0
ago,1952,3233.0
ago,1953,3305.0
ago,1954,3169.0
ago,1955,3372.0
ago,1956,3259.0
ago,1957,3515.0
ago,1958,3642.0
ago,1959,3598.0
ago,1960,3679.0
ago,1961,4099.0
ago,1962,3920.0
ago,1963,4053.0
ago,1964,4432.0
ago,1965,4685.0
ago,1966,4874.0
ago,1967,5072.0
ago,1968,4910.0
ago,1969,4966.0
ago,1970,5190.0
ago,1971,5391.0
ago,1972,5285.0
ago,1973,5585.0
ago,1974,5625.0
ago,1975,5211.0
ago,1976,4813.0
ago,1977,4723.0
ago,1978,4351.0
ago,1979,4238.0
ago,1980,4218.0
ago,1981,3897.0
ago,1982,3760.0
ago,1983,3780.0
ago,1984,3872.0
ago,1985,3884.0
ago,1986,3897.0
ago,1987,4065.0
ago,1988,4188.0
ago,1989,4098.0
ago,1990,3969.0
ago,1991,3888.0
ago,1992,3545.0
ago,1993,2607.0
ago,1994,2559.0
ago,1995,2855.0
ago,1996,3330.0
ago,1997,3420.0
ago,1998,3330.0
ago,1999,3343.0
ago,2000,3341.0
ago,2001,3335.0
ago,2002,3691.0
ago,2003,3682.0
ago,2004,3956.0
ago,2005,4613.0
ago,2006,5304.0
ago,2007,6342.0
ago,2008,7013.0
ago,2009,6980.0
ago,2010,7022.0
ago,2011,7094.0
ago,2012,7245.0
ago,2013,7319.0
ago,2014,7483.0
ago,2015,7667.0
ago,2016,7880.0
ago,2017,7900.0
ago,2018,8174.0
ago,2019,8464.0
alb,1820,878.6
alb,1821,880.5
alb,1822,882.4
alb,1823,884.3
alb,1824,886.1
alb,1825,888.0
alb,1826,889.9
alb,1827,891.8
alb,1828,893.7
alb,1829,895.6
alb,1830,897.5
alb,1831,899.4
alb,1832,901.3
alb,1833,903.3
alb,1834,905.2
alb,1835,907.1
alb,1836,909.0
alb,1837,911.0
alb,1838,912.9
alb,1839,914.9
alb,1840,916.8
alb,1841,918.8
alb,1842,920.7
alb,1843,922.7
alb,1844,924.6
alb,1845,926.6
alb,1846,928.6
alb,1847,930.6
alb,1848,932.5
alb,1849,934.5
alb,1850,936.5
alb,1851,938.5
alb,1852,940.5
alb,1853,942.5
alb,1854,944.5
alb,1855,946.5
alb,1856,948.5
alb,1857,950.6
alb,1858,952.6
alb,1859,954.6
alb,1860,956.6
alb,1861,958.7
alb,1862,960.7
alb,1863,962.8
alb,1864,964.8
alb,1865,966.9
alb,1866,968.9
alb,1867,971.0
alb,1868,973.0
alb,1869,975.1
alb,1870,977.2
alb,1871,991.6
alb,1872,1006.0
alb,1873,1021.0
alb,1874,1036.0
alb,1875,1051.0
alb,1876,1067.0
alb,1877,1083.0
alb,1878,1099.0
alb,1879,1115.0
alb,1880,1131.0
alb,1881,1148.0
alb,1882,1165.0
alb,1883,1182.0
alb,1884,1199.0
alb,1885,1217.0
alb,1886,1235.0
alb,1887,1253.0
alb,1888,1272.0
alb,1889,1290.0
alb,1890,1309.0
alb,1891,1327.0
alb,1892,1346.0
alb,1893,1364.0
alb,1894,1383.0
alb,1895,1402.0
alb,1896,1421.0
alb,1897,1440.0
alb,1898,1460.0
alb,1899,1480.0
alb,1900,1500.0
alb,1901,1520.0
alb,1902,1540.0
alb,1903,1560.0
alb,1904,1581.0
alb,1905,1601.0
alb,1906,1622.0
alb,1907,1644.0
alb,1908,1665.0
alb,1909,1687.0
alb,1910,1709.0
alb,1911,1731.0
alb,1912,1753.0
alb,1913,1776.0
alb,1914,1791.0
alb,1915,1806.0
alb,1916,1821.0
alb,1917,1836.0
alb,1918,1851.0
alb,1919,1867.0
alb,1920,1882.0
alb,1921,1898.0
alb,1922,1914.0
alb,1923,1930.0
alb,1924,1946.0
alb,1925,1963.0
alb,1926,1979.0
alb,1927,1996.0
alb,1928,2012.0
alb,1929,2029.0
alb,1930,2037.0
alb,1931,2044.0
alb,1932,2052.0
alb,1933,2059.0
alb,1934,2067.0
alb,1935,2075.0
alb,1936,2082.0
alb,1937,2090.0
alb,1938,2098.0
alb,1939,2106.0
alb,1940,2114.0
alb,1941,2121.0
alb,1942,2129.0
alb,1943,2137.0
alb,1944,2145.0
alb,1945,2153.0
alb,1946,2161.0
alb,1947,2169.0
alb,1948,2177.0
alb,1949,2185.0
alb,1950,2193.0
alb,1951,2288.0
alb,1952,2292.0
alb,1953,2384.0
alb,1954,2454.0
alb,1955,2587.0
alb,1956,2613.0
alb,1957,2780.0
alb,1958,2905.0
alb,1959,3025.0
alb,1960,3178.0
alb,1961,3205.0
alb,1962,3311.0
alb,1963,3424.0
alb,1964,3541.0
alb,1965,3670.0
alb,1966,3808.0
alb,1967,3951.0
alb,1968,4094.0
alb,1969,4233.0
alb,1970,4389.0
alb,1971,4564.0
alb,1972,4743.0
alb,1973,4979.0
alb,1974,4998.0
alb,1975,5015.0
alb,1976,5035.0
alb,1977,5057.0
alb,1978,5080.0
alb,1979,5105.0
