geo,time,mean_years_in_school_men_15_to_24_years,is_forecasted
aze,1978,7.76,False
aze,1979,7.88,False
aze,1980,8.01,False
aze,1981,8.14,False
aze,1982,8.27,False
aze,1983,8.39,False
aze,1984,8.52,False
aze,1985,8.65,False
aze,1986,8.77,False
aze,1987,8.9,False
aze,1988,9.03,False
aze,1989,9.15,False
aze,1990,9.27,False
aze,1991,9.4,False
aze,1992,9.52,False
aze,1993,9.64,False
aze,1994,9.76,False
aze,1995,9.87,False
aze,1996,9.99,False
aze,1997,10.1,False
aze,1998,10.21,False
aze,1999,10.33,False
aze,2000,10.44,False
aze,2001,10.56,False
aze,2002,10.67,False
aze,2003,10.79,False
aze,2004,10.91,False
aze,2005,11.03,False
aze,2006,11.15,False
aze,2007,11.27,False
aze,2008,11.39,False
aze,2009,11.52,False
aze,2010,11.64,False
aze,2011,11.77,False
aze,2012,11.89,False
aze,2013,12.02,False
aze,2014,12.15,False
aze,2015,12.28,False
aze,2016,12.407678892196786,True
aze,2017,12.53532372461636,True
aze,2018,12.662934506344547,True
aze,2019,12.790511246464751,True
aze,2020,12.918053954057955,True
aze,2021,13.045562638202716,True
aze,2022,13.173037307975171,True
aze,2023,13.300477972449036,True
aze,2024,13.427884640695606,True
bdi,1970,1.92,False
bdi,1971,1.97,False
bdi,1972,2.02,False
bdi,1973,2.07,False
bdi,1974,2.12,False
bdi,1975,2.18,False
bdi,1976,2.23,False
bdi,1977,2.29,False
bdi,1978,2.34,False
bdi,1979,2.4,False
bdi,1980,2.46,False
bdi,1981,2.52,False
bdi,1982,2.59,False
bdi,1983,2.65,False
bdi,1984,2.71,False
bdi,1985,2.78,False
bdi,1986,2.85,False
bdi,1987,2.92,False
bdi,1988,2.99,False
bdi,1989,3.06,False
bdi,1990,3.14,False
bdi,1991,3.21,False
bdi,1992,3.29,False
bdi,1993,3.37,False
bdi,1994,3.45,False
bdi,1995,3.54,False
bdi,1996,3.62,False
bdi,1997,3.71,False
bdi,1998,3.8,False
bdi,1999,3.89,False
bdi,2000,3.98,False
bdi,2001,4.08,False
bdi,2002,4.17,False
bdi,2003,4.27,False
bdi,2004,4.37,False
bdi,2005,4.47,False
bdi,2006,4.57,False
bdi,2007,4.67,False
bdi,2008,4.78,False
bdi,2009,4.89,False
bdi,2010,4.99,False
bdi,2011,5.1,False
bdi,2012,5.21,False
bdi,2013,5.33,False
bdi,2014,5.44,False
bdi,2015,5.56,False
bdi,2016,5.676187580528867,True
bdi,2017,5.792218162056918,True
bdi,2018,5.908091956729772,True
bdi,2019,6.023809176406385,True
bdi,2020,6.139370032659438,True
bdi,2021,6.254774736775726,True
bdi,2022,6.370023499756538,True
bdi,2023,6.485116532318049,True
bdi,2024,6.600054044891701,True
bel,1970,8.59,False
bel,1971,8.7,False
bel,1972,8.82,False
bel,1973,8.93,False
bel,1974,9.04,False
bel,1975,9.15,False
bel,1976,9.25,False
bel,1977,9.36,False
bel,1978,9.46,False
bel,1979,9.57,False
bel,1980,9.67,False
bel,1981,9.77,False
bel,1982,9.87,False
bel,1983,9.96,False
bel,1984,10.06,False
bel,1985,10.15,False
bel,1986,10.24,False
bel,1987,10.32,False
bel,1988,10.41,False
bel,1989,10.49,False
bel,1990,10.56,False
bel,1991,10.64,False
bel,1992,10.7,False
bel,1993,10.76,False
bel,1994,10.82,False
bel,1995,10.87,False
bel,1996,10.97,False
bel,1997,11.07,False
bel,1998,11.17,False
bel,1999,11.28,False
bel,2000,11.39,False
bel,2001,11.5,False
bel,2002,11.61,False
bel,2003,11.72,False
bel,2004,11.84,False
bel,2005,11.96,False
bel,2006,12.08,False
bel,2007,12.19,False
bel,2008,12.31,False
bel,2009,12.44,False
bel,2010,12.56,False
bel,2011,12.68,False
bel,2012,12.8,False
bel,2013,12.92,False
bel,2014,13.04,False
bel,2015,13.17,False
bel,2016,13.296717866878122,True
bel,2017,13.423109717891299,True
bel,2018,13.549176391803208,True
bel,2019,13.674918725219582,True
bel,2020,13.800337552593762,True
bel,2021,13.92543370623223,True
bel,2022,14.050208016300138,True
bel,2023,14.174661310826812,True
bel,2024,14.298794415711251,True
ben,1970,2.26,False
ben,1971,2.32,False
ben,1972,2.38,False
ben,1973,2.44,False
ben,1974,2.5,False
ben,1975,2.56,False
ben,1976,2.63,False
ben,1977,2.7,False
ben,1978,2.76,False
ben,1979,2.83,False
ben,1980,2.91,False
