geo,time,income_per_person_long_series,is_forecasted
ago,1885,932.4,False
ago,1886,936.3,False
ago,1887,940.3,False
ago,1888,944.3,False
ago,1889,948.3,False
ago,1890,952.4,False
ago,1891,956.4,False
ago,1892,960.5,False
ago,1893,964.6,False
ago,1894,968.7,False
ago,1895,972.8,False
ago,1896,976.9,False
ago,1897,981.1,False
ago,1898,985.2,False
ago,1899,989.4,False
ago,1900,993.6,False
ago,1901,997.9,False
ago,1902,1002.0,False
ago,1903,1006.0,False
ago,1904,1011.0,False
ago,1905,1015.0,False
ago,1906,1019.0,False
ago,1907,1024.0,False
ago,1908,1028.0,False
ago,1909,1032.0,False
ago,1910,1037.0,False
ago,1911,1041.0,False
ago,1912,1046.0,False
ago,1913,1050.0,False
ago,1914,1081.0,False
ago,1915,1113.0,False
ago,1916,1146.0,False
ago,1917,1180.0,False
ago,1918,1215.0,False
ago,1919,1251.0,False
ago,1920,1288.0,False
ago,1921,1326.0,False
ago,1922,1365.0,False
ago,1923,1405.0,False
ago,1924,1447.0,False
ago,1925,1490.0,False
ago,1926,1534.0,False
ago,1927,1579.0,False
ago,1928,1626.0,False
ago,1929,1674.0,False
ago,1930,1724.0,False
ago,1931,1775.0,False
ago,1932,1827.0,False
ago,1933,1881.0,False
ago,1934,1937.0,False
ago,1935,1994.0,False
ago,1936,2053.0,False
ago,1937,2114.0,False
ago,1938,2176.0,False
ago,1939,2241.0,False
ago,1940,2307.0,False
ago,1941,2375.0,False
ago,1942,2446.0,False
ago,1943,2518.0,False
ago,1944,2593.0,False
ago,1945,2669.0,False
ago,1946,2748.0,False
ago,1947,2830.0,False
ago,1948,2913.0,False
ago,1949,2999.0,False
ago,1950,3088.0,False
ago,1951,3160.0,False
ago,1952,3233.0,False
ago,1953,3305.0,False
ago,1954,3169.0,False
ago,1955,3372.0,False
ago,1956,3259.0,False
ago,1957,3515.0,False
ago,1958,3642.0,False
ago,1959,3598.0,False
ago,1960,3679.0,False
ago,1961,4099.0,False
ago,1962,3920.0,False
ago,1963,4053.0,False
ago,1964,4432.0,False
ago,1965,4685.0,False
ago,1966,4874.0,False
ago,1967,5072.0,False
ago,1968,4910.0,False
ago,1969,4966.0,False
ago,1970,5190.0,False
ago,1971,5391.0,False
ago,1972,5285.0,False
ago,1973,5585.0,False
ago,1974,5625.0,False
ago,1975,5211.0,False
ago,1976,4813.0,False
ago,1977,4723.0,False
ago,1978,4351.0,False
ago,1979,4238.0,False
ago,1980,4218.0,False
ago,1981,3897.0,False
ago,1982,3760.0,False
ago,1983,3780.0,False
ago,1984,3872.0,False
ago,1985,3884.0,False
ago,1986,3897.0,False
ago,1987,4065.0,False
ago,1988,4188.0,False
ago,1989,4098.0,False
ago,1990,3969.0,False
ago,1991,3888.0,False
ago,1992,3545.0,False
ago,1993,2607.0,False
ago,1994,2559.0,False
ago,1995,2855.0,False
ago,1996,3330.0,False
ago,1997,3420.0,False
ago,1998,3330.0,False
ago,1999,3343.0,False
ago,2000,3341.0,False
ago,2001,3335.0,False
ago,2002,3691.0,False
ago,2003,3682.0,False
ago,2004,3956.0,False
ago,2005,4613.0,False
ago,2006,5304.0,False
ago,2007,6342.0,False
ago,2008,7013.0,False
ago,2009,6980.0,False
ago,2010,7022.0,False
ago,2011,7094.0,False
ago,2012,7245.0,False
ago,2013,7319.0,False
ago,2014,7483.0,False
ago,2015,7667.0,False
ago,2016,7880.0,False
ago,2017,7900.0,False
ago,2018,8174.0,False
ago,2019,8464.0,False
ago,2020,8621.55801071765,True
ago,2021,8702.371105897268,True
ago,2022,8743.820958702361,True
ago,2023,8765.081006888182,True
ago,2024,8775.985500348961,True
alb,1820,878.6,False
alb,1821,880.5,False
alb,1822,882.4,False
alb,1823,884.3,False
alb,1824,886.1,False
alb,1825,888.0,False
alb,1826,889.9,False
alb,1827,891.8,False
alb,1828,893.7,False
alb,1829,895.6,False
alb,1830,897.5,False
alb,1831,899.4,False
alb,1832,901.3,False
alb,1833,903.3,False
alb,1834,905.2,False
alb,1835,907.1,False
alb,1836,909.0,False
alb,1837,911.0,False
alb,1838,912.9,False
alb,1839,914.9,False
alb,1840,916.8,False
alb,1841,918.8,False
alb,1842,920.7,False
alb,1843,922.7,False
alb,1844,924.6,False
alb,1845,926.6,False
alb,1846,928.6,False
alb,1847,930.6,False
alb,1848,932.5,False
alb,1849,934.5,False
alb,1850,936.5,False
alb,1851,938.5,False
alb,1852,940.5,False
alb,1853,942.5,False
