geo,time,cell_phones_per_100_people,is_forecasted
aut,1998,28.74799,False
aut,1999,53.18725,False
aut,2000,76.3391,False
aut,2001,81.3331,False
aut,2002,83.3495,False
aut,2003,89.5526,False
aut,2004,97.7795,False
aut,2005,105.296,False
aut,2006,112.226,False
aut,2007,119.466,False
aut,2008,129.949,False
aut,2009,137.015,False
aut,2010,146.334,False
aut,2011,155.155,False
aut,2012,161.156,False
aut,2013,156.483,False
aut,2014,151.531,False
aut,2015,155.837,False
aut,2016,126.798,False
aut,2017,123.415,False
aut,2018,124.23,False
aut,2019,120.776,False
aut,2020,120.132,False
aut,2021,121.358,False
aut,2022,121.166,False
aut,2023,121.746,False
aut,2024,121.98993976449776,True
aze,1960,0.0,False
aze,1965,0.0,False
aze,1970,0.0,False
aze,1975,0.0,False
aze,1976,0.0,False
aze,1977,0.0,False
aze,1978,0.0,False
aze,1979,0.0,False
aze,1980,0.0,False
aze,1981,0.0,False
aze,1982,0.0,False
aze,1983,0.0,False
aze,1984,0.0,False
aze,1985,0.0,False
aze,1986,0.0,False
aze,1987,0.0,False
aze,1988,0.0,False
aze,1989,0.0,False
aze,1990,0.0,False
aze,1991,0.0,False
aze,1992,0.0,False
aze,1993,0.0,False
aze,1994,0.00639,False
aze,1995,0.07605,False
aze,1996,0.21386,False
aze,1997,0.5,False
aze,1998,0.80835,False
aze,1999,4.56708,False
aze,2000,5.14264,False
aze,2001,8.84659,False
aze,2002,9.53864,False
aze,2003,12.5837,False
aze,2004,17.156,False
aze,2005,26.0781,False
aze,2006,38.1512,False
aze,2007,51.1876,False
aze,2008,73.2222,False
aze,2009,85.7487,False
aze,2010,99.489,False
aze,2011,109.334,False
aze,2012,107.989,False
aze,2013,106.583,False
aze,2014,109.567,False
aze,2015,109.682,False
aze,2016,103.248,False
aze,2017,101.59,False
aze,2018,102.987,False
aze,2019,106.328,False
aze,2020,101.597,False
aze,2021,105.694,False
aze,2022,107.506,False
aze,2023,107.687,False
aze,2024,108.09500829389569,True
bdi,1960,0.0,False
bdi,1965,0.0,False
bdi,1970,0.0,False
bdi,1975,0.0,False
bdi,1976,0.0,False
bdi,1977,0.0,False
bdi,1978,0.0,False
bdi,1979,0.0,False
bdi,1980,0.0,False
bdi,1981,0.0,False
bdi,1982,0.0,False
bdi,1983,0.0,False
bdi,1984,0.0,False
bdi,1985,0.0,False
bdi,1986,0.0,False
bdi,1987,0.0,False
bdi,1988,0.0,False
bdi,1989,0.0,False
