geo,time,suicide_per_100000_people,is_forecasted
bel,2006,20.28559,False
bel,2007,18.73565,False
bel,2008,20.23714,False
bel,2009,20.56384,False
bel,2010,20.52935,False
bel,2011,21.21335,False
bel,2012,20.89961,False
bel,2013,19.61949,False
bel,2014,19.41666,False
bel,2015,18.60678,False
bel,2016,19.21829,False
bel,2017,18.40323,False
bel,2018,18.57659,False
bel,2019,18.1104,False
bel,2020,16.88794,False
bel,2021,18.36102,False
bel,2022,17.8553167076101,True
bel,2023,18.026545924245525,True
bel,2024,17.96856836097711,True
ben,2000,6.69739,False
ben,2001,6.62124,False
ben,2002,6.84801,False
ben,2003,6.76671,False
ben,2004,6.79441,False
ben,2005,6.76492,False
ben,2006,6.74913,False
ben,2007,6.77424,False
ben,2008,7.01397,False
ben,2009,7.24243,False
ben,2010,7.36828,False
ben,2011,7.43514,False
ben,2012,7.42161,False
ben,2013,7.33748,False
ben,2014,7.29418,False
ben,2015,7.39121,False
ben,2016,7.31965,False
ben,2017,7.2571,False
ben,2018,7.20569,False
ben,2019,7.22707,False
ben,2020,6.89355,False
ben,2021,7.12388,False
ben,2022,7.040428874815935,True
ben,2023,7.1144990820788925,True
ben,2024,7.0487552638634225,True
bfa,2000,9.03834,False
bfa,2001,9.12591,False
bfa,2002,8.85036,False
bfa,2003,8.7698,False
bfa,2004,8.68672,False
bfa,2005,8.57446,False
bfa,2006,8.56656,False
bfa,2007,8.47183,False
bfa,2008,8.57294,False
bfa,2009,8.65043,False
bfa,2010,8.69207,False
bfa,2011,8.54921,False
bfa,2012,8.94587,False
bfa,2013,9.0009,False
bfa,2014,8.86105,False
bfa,2015,8.84057,False
bfa,2016,8.82963,False
bfa,2017,8.7624,False
bfa,2018,8.64182,False
bfa,2019,8.44706,False
bfa,2020,8.30069,False
bfa,2021,8.49869,False
bfa,2022,8.496278342428836,True
bfa,2023,8.498388293792843,True
bfa,2024,8.496542304208042,True
bgd,2000,4.80534,False
bgd,2001,4.66727,False
bgd,2002,4.56558,False
bgd,2003,4.39039,False
bgd,2004,4.11511,False
bgd,2005,4.23275,False
bgd,2006,4.29861,False
bgd,2007,4.10106,False
bgd,2008,3.94317,False
bgd,2009,3.91014,False
bgd,2010,3.72001,False
bgd,2011,3.28984,False
bgd,2012,3.11671,False
bgd,2013,3.02204,False
bgd,2014,3.00749,False
bgd,2015,2.96653,False
bgd,2016,2.98126,False
bgd,2017,3.08578,False
bgd,2018,3.05875,False
bgd,2019,3.08083,False
bgd,2020,2.80967,False
bgd,2021,2.81182,False
bgd,2022,2.741990675641371,True
bgd,2023,2.6728467557936324,True
bgd,2024,2.604381512920068,True
bgr,2000,18.22021,False
bgr,2001,17.30853,False
bgr,2002,17.32648,False
bgr,2003,14.9748,False
bgr,2004,14.17071,False
bgr,2005,13.2427,False
bgr,2006,13.29684,False
bgr,2007,12.37329,False
bgr,2008,13.05868,False
bgr,2009,12.30299,False
bgr,2010,12.39917,False
bgr,2011,11.06691,False
bgr,2012,12.63208,False
bgr,2013,10.57558,False
bgr,2014,10.56602,False
bgr,2015,9.95401,False
bgr,2016,9.71233,False
bgr,2017,10.3488,False
bgr,2018,9.72825,False
bgr,2019,9.02124,False
bgr,2020,10.03017,False
bgr,2021,9.5109,False
bgr,2022,10.033849652315169,True
bgr,2023,9.510929786502624,True
bgr,2024,10.033819867509143,True
bhr,2000,10.84957,False
bhr,2001,10.99441,False
bhr,2002,10.25483,False
bhr,2003,10.4627,False
bhr,2004,10.17487,False
bhr,2005,9.48312,False
bhr,2006,7.44923,False
bhr,2007,7.14905,False
bhr,2008,6.7899,False
bhr,2009,6.00112,False
bhr,2010,5.60263,False
bhr,2011,5.54955,False
bhr,2012,5.78617,False
bhr,2013,5.58608,False
bhr,2014,5.61656,False
bhr,2015,5.27012,False
bhr,2016,5.82355,False
bhr,2017,6.00125,False
bhr,2018,5.97147,False
bhr,2019,5.37217,False
bhr,2020,5.47822,False
bhr,2021,4.65901,False
bhr,2022,4.447157055609587,True
bhr,2023,4.270707219954097,True
bhr,2024,4.12374421909089,True
bhs,2000,3.50048,False
bhs,2001,3.26657,False
bhs,2002,3.03577,False
bhs,2003,3.26934,False
bhs,2004,3.43084,False
bhs,2005,3.13026,False
bhs,2006,3.34811,False
bhs,2007,3.2337,False
bhs,2008,3.29789,False
bhs,2009,3.48192,False
bhs,2010,3.83368,False
bhs,2011,3.80774,False
bhs,2012,3.58825,False
bhs,2013,3.40142,False
bhs,2014,3.58804,False
bhs,2015,3.42045,False
bhs,2016,3.65062,False
bhs,2017,3.64566,False
bhs,2018,3.44933,False
bhs,2019,3.60855,False
bhs,2020,3.10471,False
bhs,2021,3.25253,False
bhs,2022,3.3332171666096753,True
bhs,2023,3.375142760357858,True
bhs,2024,3.3969275804847165,True
bih,2000,10.98351,False
bih,2001,10.81049,False
bih,2002,10.83387,False
bih,2003,10.57336,False
bih,2004,10.45641,False
bih,2005,10.83119,False
bih,2006,10.69204,False
bih,2007,11.47947,False
bih,2008,10.78334,False
bih,2009,10.73002,False
bih,2010,10.46903,False
bih,2011,10.52957,False
bih,2012,10.26167,False
bih,2013,10.53006,False
bih,2014,10.39695,False
bih,2015,10.62754,False
bih,2016,10.52472,False
bih,2017,10.50516,False
bih,2018,10.40443,False
bih,2019,10.90849,False
bih,2020,9.76505,False
bih,2021,8.97169,False
bih,2022,8.828816698212247,True
bih,2023,8.971672720609556,True
bih,2024,8.828833975512886,True
blr,2000,39.50342,False
blr,2001,39.31091,False
blr,2002,40.31967,False
blr,2003,40.28691,False
blr,2004,40.36923,False
blr,2005,40.51841,False
blr,2006,37.47523,False
