geo,electricity_use_per_person_2014,electricity_use_per_person_2022,pct_change
tkm,2410.75189,2829.24674,17.359515582501526
tto,6821.30877,6590.9848,-3.376536347584211
tun,1442.84056,1595.46721,10.57820622952268
tur,2848.97166,3554.22816,24.75477414892923
tza,103.01577,123.47049,19.855911381335105
uga,64.76068,89.87013,38.772678112706686
ukr,3366.56488,2419.58552,-28.128950243192698
ury,3120.07089,3589.88862,15.057918443641524
usa,12962.14254,12968.16281,0.046445022351984354
uzb,1515.00543,2094.05233,38.220780502417085
ven,1975.46916,1989.22363,0.6962634638143304
vnm,1384.50681,2624.40089,89.55492822747472
yem,189.63612,53.97291,-71.53869737474064
zaf,4118.70973,3404.62349,-17.337619954101495
zmb,695.17339,703.96684,1.2649290272747649
zwe,582.72618,538.79954,-7.538127083976221
