geo,energy_use_per_person_2005,energy_use_per_person_2020,pct_change
mus,945.75472,1025.83744,8.467599294667014
mys,2515.14873,2722.60317,8.24819771195002
nam,702.41935,678.33249,-3.4291281981340633
ner,126.0313,147.81739,17.286253494171675
nga,305.40194,323.13089,5.805120294913646
nic,527.95888,584.48107,10.705793981531293
nld,4893.73296,3975.37814,-18.765936505043797
nld_curacao,14857.20792,5097.78998,-65.6881023174104
nor,6319.92546,5145.72222,-18.579384320776477
npl,347.14075,524.60127,51.12062470338039
nzl,4074.14859,3849.07797,-5.524359630682983
omn,4030.08185,5696.1655,41.341186407913774
pak,436.02171,454.25032,4.180665682908313
pan,838.63594,936.06545,11.617616817137606
per,525.12953,666.66636,26.95274630623039
phl,434.47009,518.15678,19.26178393546032
pol,2414.28237,2710.95606,12.288276370920114
prk,874.54757,726.9278,-16.87955864996571
prt,2519.13902,1957.3055,-22.302600830659998
pry,727.72611,1056.54063,45.18382884461848
qat,20198.16891,14869.25011,-26.38317772143039
rou,1808.18762,1669.63823,-7.662334841115653
rus,4541.20864,5044.85367,11.090550334194745
rwa,352.13603,358.13256,1.7029015747124787
sau,6447.0719,7170.88695,11.227035485675291
sdn,485.74982,422.22104,-13.078497898362574
sen,246.43567,280.6079,13.866592445809484
sgp,4925.75758,5538.12372,12.431917934540317
slv,643.90315,669.91073,4.039051525062421
srb,2152.46605,2291.60819,6.464312874992845
sur,1231.36166,1688.41378,37.1176182308616
svk,3504.64376,3032.6427,-13.467875548069971
svn,3763.90446,3068.8194,-18.46712814809333
swe,5711.64214,4284.99806,-24.977826779602825
swz,858.52171,991.48575,15.487557093926032
syr,1105.30501,509.57367,-53.89746129894046
tcd,228.51576,193.03268,-15.527629254104838
tgo,405.97784,424.62221,4.5924600219558736
tha,1508.58026,1884.35074,24.908882209555106
tjk,337.91594,375.36738,11.083064030658054
tkm,3554.43426,3395.8268,-4.4622420446735225
tto,12423.56831,10738.11726,-13.56656161855965
tun,810.83693,896.51559,10.566694341364041
tur,1211.46562,1762.01062,45.44454179393057
tza,426.1625,405.68564,-4.804941776904361
uga,392.29668,475.32519,21.164724106255512
ukr,2964.77702,1932.92182,-34.803804570773416
ury,916.69861,1531.60056,67.07787524626005
usa,7843.39106,6141.53126,-21.69801029913202
uzb,1662.08973,1351.3752,-18.694209126723862
ven,2371.58341,1104.64249,-53.42173143300914
